[2023-12-21 08:58:01.817] [info] Using configuration file /home/agge/.config/waybar/config
[2023-12-21 08:58:01.818] [info] Unable to receive desktop appearance: GDBus.Error:org.freedesktop.DBus.Error.UnknownMethod: No such interface “org.freedesktop.portal.Settings” on object at path /org/freedesktop/portal/desktop
[2023-12-21 08:58:01.818] [info] Using CSS file /home/agge/.config/waybar/style.css

(waybar:4926): Gtk-WARNING **: 08:58:01.819: Theme parsing error: style.css:327:17: Not using units is deprecated. Assuming 'px'.
[2023-12-21 08:58:01.823] [warning] Mapping is not an object
[2023-12-21 08:58:01.823] [info] Hyprland IPC starting
[2023-12-21 08:58:01.828] [warning] Waybar has been built without rfkill support.

(waybar:4926): GLib-GObject-CRITICAL **: 08:58:01.851: ../glib-2.78.3/gobject/gsignal.c:2088: type 'GtkWindow' is already overridden for signal id '73'

(waybar:4926): GLib-GObject-CRITICAL **: 08:58:01.851: ../glib-2.78.3/gobject/gsignal.c:2088: type 'GtkWindow' is already overridden for signal id '72'
[2023-12-21 08:58:01.990] [info] Bar configured (width: 2560, height: 35) for output: DP-2
[2023-12-21 09:29:08.743] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.762] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.762] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.762] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.762] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.766] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:08.766] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:29:38.008] [warning] [wireplumber]: (onMixerChanged) - Object with id 80 not found
[2023-12-21 09:29:38.009] [warning] [wireplumber]: (onMixerChanged) - Object with id 80 not found
[2023-12-21 09:29:38.010] [warning] [wireplumber]: (onMixerChanged) - Object with id 80 not found
[2023-12-21 09:29:38.010] [warning] [wireplumber]: (onMixerChanged) - Object with id 80 not found
[2023-12-21 09:29:38.016] [warning] [wireplumber]: (onMixerChanged) - Object with id 80 not found
[2023-12-21 09:29:38.016] [warning] [wireplumber]: (onMixerChanged) - Object with id 80 not found
[2023-12-21 09:29:38.151] [warning] [wireplumber]: (onMixerChanged) - Object with id 84 not found
[2023-12-21 09:29:38.151] [warning] [wireplumber]: (onMixerChanged) - Object with id 84 not found
[2023-12-21 09:29:38.152] [warning] [wireplumber]: (onMixerChanged) - Object with id 84 not found
[2023-12-21 09:29:38.153] [warning] [wireplumber]: (onMixerChanged) - Object with id 84 not found
[2023-12-21 09:29:38.159] [warning] [wireplumber]: (onMixerChanged) - Object with id 84 not found
[2023-12-21 09:29:38.159] [warning] [wireplumber]: (onMixerChanged) - Object with id 84 not found
[2023-12-21 09:29:38.161] [warning] [wireplumber]: (onMixerChanged) - Object with id 89 not found
[2023-12-21 09:29:38.161] [warning] [wireplumber]: (onMixerChanged) - Object with id 89 not found
[2023-12-21 09:29:38.162] [warning] [wireplumber]: (onMixerChanged) - Object with id 89 not found
[2023-12-21 09:29:38.162] [warning] [wireplumber]: (onMixerChanged) - Object with id 89 not found
[2023-12-21 09:29:38.171] [warning] [wireplumber]: (onMixerChanged) - Object with id 89 not found
[2023-12-21 09:29:38.172] [warning] [wireplumber]: (onMixerChanged) - Object with id 89 not found
[2023-12-21 09:32:37.932] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:32:37.932] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:32:37.937] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:32:37.937] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.063] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.063] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.064] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.064] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.070] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.070] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.071] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.071] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.073] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.073] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.080] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.080] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.081] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.081] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.087] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.087] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.089] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.089] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.094] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.094] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.096] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.096] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.103] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.103] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.104] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.104] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.109] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.109] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.110] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.110] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.111] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.111] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.118] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.118] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.119] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.119] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.125] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.126] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.127] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.127] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.132] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.133] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.134] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:10.134] [warning] [wireplumber]: (onMixerChanged) - Object with id 88 not found
[2023-12-21 09:59:19.231] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.231] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.231] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.232] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.238] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.238] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.241] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.241] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.248] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.248] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.250] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.250] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.254] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.255] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.255] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.257] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.257] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.263] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.263] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.265] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.265] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.271] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.271] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.272] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.272] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.280] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.280] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.281] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.281] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.287] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.287] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.288] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.288] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.294] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.294] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.296] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.296] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.302] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.302] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.304] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.304] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.310] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.311] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.331] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.331] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.331] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.331] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.336] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:19.336] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 09:59:54.104] [warning] [wireplumber]: (onMixerChanged) - Object with id 69 not found
[2023-12-21 09:59:54.104] [warning] [wireplumber]: (onMixerChanged) - Object with id 69 not found
[2023-12-21 09:59:54.106] [warning] [wireplumber]: (onMixerChanged) - Object with id 69 not found
[2023-12-21 09:59:54.106] [warning] [wireplumber]: (onMixerChanged) - Object with id 69 not found
[2023-12-21 09:59:54.115] [warning] [wireplumber]: (onMixerChanged) - Object with id 69 not found
[2023-12-21 09:59:54.115] [warning] [wireplumber]: (onMixerChanged) - Object with id 69 not found
[2023-12-21 09:59:56.652] [warning] [wireplumber]: (onMixerChanged) - Object with id 85 not found
[2023-12-21 09:59:56.652] [warning] [wireplumber]: (onMixerChanged) - Object with id 85 not found
[2023-12-21 09:59:56.653] [warning] [wireplumber]: (onMixerChanged) - Object with id 85 not found
[2023-12-21 09:59:56.653] [warning] [wireplumber]: (onMixerChanged) - Object with id 85 not found
[2023-12-21 09:59:56.658] [warning] [wireplumber]: (onMixerChanged) - Object with id 85 not found
[2023-12-21 09:59:56.658] [warning] [wireplumber]: (onMixerChanged) - Object with id 85 not found
[2023-12-21 09:59:56.660] [warning] [wireplumber]: (onMixerChanged) - Object with id 94 not found
[2023-12-21 09:59:56.660] [warning] [wireplumber]: (onMixerChanged) - Object with id 94 not found
[2023-12-21 09:59:56.661] [warning] [wireplumber]: (onMixerChanged) - Object with id 94 not found
[2023-12-21 09:59:56.668] [warning] [wireplumber]: (onMixerChanged) - Object with id 94 not found
[2023-12-21 09:59:56.668] [warning] [wireplumber]: (onMixerChanged) - Object with id 94 not found
[2023-12-21 10:01:35.077] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.077] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.078] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.078] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.084] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.084] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.087] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
[2023-12-21 10:01:35.087] [warning] [wireplumber]: (onMixerChanged) - Object with id 68 not found
